EEG,Alpha,delta,gamma,low_beta,high_beta,theta,Attention,Meditation
1.057108207,0.008322022,0.027673302,0.017515112,0.012655046,0.010196513,0.012009544,44.54331588745117,39.0494270324707
6.650856814,0.006564306,0.024489904,0.017980285,0.014102502,0.010793273,0.012564993,41.84833908081055,41.61309051513672
5.52573987,0.008250229,0.025955969,0.017042622,0.01357103,0.010961067,0.010284559,41.08804702758789,43.6103401184082
-1.027407578,0.008709625,0.02274652,0.018481337,0.015940066,0.011931854,0.011754788,41.5187873840332,45.74433135986328
-3.298463859,0.010076283,0.02492323,0.017478453,0.016000591,0.012412445,0.010824174,42.98884201049805,47.7755126953125
-2.408108964,0.008827071,0.021826789,0.016823189,0.015368739,0.011685569,0.013858411,42.98884201049805,47.7755126953125
-6.031176913,0.011109888,0.028468253,0.016944058,0.016814258,0.01243826,0.01555835,46.09371566772461,50.238494873046875
2.837958735,0.009985724,0.026681015,0.01676116,0.01667054,0.011905785,0.015994206,46.09371566772461,50.238494873046875
4.620719771,0.010216313,0.026846943,0.018825987,0.016901555,0.012253284,0.017336283,48.735225677490234,49.33776092529297
1.098627877,0.009672339,0.026365934,0.018791152,0.016333934,0.012346693,0.016154667,48.735225677490234,49.33776092529297
-4.85684869,0.010448836,0.028282708,0.017442202,0.015171202,0.013170754,0.015668936,47.9864616394043,51.92311477661133
0.927926785,0.00936478,0.017466806,0.017197037,0.014039856,0.011829376,0.01080526,45.26921081542969,54.22926712036133
3.171025704,0.009854437,0.020094942,0.018168412,0.01397843,0.011683237,0.013552889,40.64127731323242,55.8895378112793
-11.05836467,0.008201501,0.031676173,0.015713274,0.014407665,0.011124456,0.015707223,34.40416717529297,59.57648468017578
5.837895608,0.009167727,0.032253526,0.016131589,0.013793755,0.01009405,0.014411658,34.40416717529297,59.57648468017578
-5.172794751,0.008667295,0.03132676,0.016636152,0.014165264,0.010309728,0.015916502,25.76091957092285,62.9531364440918
2.453175255,0.007705462,0.032551218,0.016253233,0.013563453,0.009635242,0.015790204,24.290523529052734,66.77857208251953
-9.044029143,0.009148564,0.035148118,0.015386323,0.012669894,0.009799501,0.013940576,22.43670654296875,70.17442321777344
7.02504232,0.009935535,0.033801336,0.015290916,0.012333128,0.010333426,0.019967094,21.904117584228516,72.59428405761719
2.537951056,0.01034796,0.030737786,0.015500937,0.013084036,0.009048635,0.017208405,22.32740020751953,70.75055694580078
