EEG,Alpha,delta,gamma,low_beta,high_beta,theta,Attention,Meditation
-0.147552643,0.00895125,0.036516778,0.018897256,0.017379485,0.016029259,0.015612186,54.56425094604492,24.080842971801758
-5.204379709,0.008370859,0.035858825,0.01765297,0.016118977,0.016500866,0.013944044,58.29027557373047,23.173168182373047
4.323998043,0.01643499,0.034171466,0.017213466,0.020271454,0.01317844,0.025382066,60.04890060424805,24.045391082763672
-27.16496752,0.0172657,0.04671048,0.016860841,0.02052962,0.012983892,0.02619076,61.3579216003418,27.54452896118164
-7.04773151,0.018073462,0.049491476,0.020442083,0.020724172,0.014469136,0.026770251,62.42353439331055,26.6053409576416
-3.505172794,0.01760285,0.053974196,0.028224524,0.024755055,0.017448846,0.024602108,61.287681579589844,26.65932273864746
-26.16824109,0.019016046,0.062967762,0.055625748,0.036373883,0.022547323,0.029837597,61.43288803100586,27.591115951538086
24.61380704,0.01263467,0.061058905,0.06372942,0.034294747,0.032970104,0.021001805,57.87543869018555,27.53189468383789
0.085470319,0.014736451,0.073451266,0.086602941,0.037292622,0.040284369,0.022861941,54.61433792114258,25.855316162109375
7.521555165,0.0152713,0.071614772,0.087024532,0.037385277,0.041124869,0.025827052,53.9218635559082,24.706254959106445
11.54306241,0.016339218,0.070828646,0.086325347,0.035398085,0.041557569,0.026173469,52.62701416015625,24.492298126220703
-10.99642514,0.014164962,0.070074312,0.073493548,0.027830722,0.040441386,0.024917817,51.57540512084961,23.986772537231445
-0.363260711,0.013842281,0.077570818,0.067284063,0.026110711,0.032754939,0.025611004,51.741878509521484,25.19261360168457
9.870873945,0.011807693,0.057810206,0.040976558,0.025416953,0.024606435,0.026521947,51.10837936401367,26.284814834594727
-1.1510524,0.012714488,0.052591439,0.067596167,0.034182001,0.038117267,0.025310075,49.92145919799805,25.772069931030273
14.50240275,0.014062121,0.061821748,0.072494842,0.034970134,0.038676728,0.023565261,49.63434982299805,26.52713966369629
-1.698946427,0.012896457,0.065426528,0.07608892,0.033938173,0.045870375,0.025653061,48.96992492675781,26.532238006591797
1.898924805,0.014622403,0.062818177,0.077962503,0.035456676,0.045653872,0.027116042,48.0061149597168,26.518169403076172
8.230005118,0.014805154,0.064565033,0.0805986,0.036566049,0.050457012,0.027000142,46.395320892333984,26.42953872680664
-30.4922873,0.015621162,0.088398524,0.107311577,0.032516845,0.060910854,0.031183418,44.40652847290039,26.322643280029297
10.55305162,0.01594777,0.091148041,0.104522213,0.035791542,0.059020378,0.036912769,39.8998908996582,26.775043487548828
-1.580935349,0.016934238,0.098234139,0.11175786,0.037020314,0.058830727,0.034342766,35.70062255859375,24.174856185913086
-18.05090894,0.017330106,0.102195024,0.115948692,0.041122086,0.062603548,0.028767865,28.90486717224121,23.114160537719727
-21.38066639,0.017594367,0.106266923,0.118860483,0.040164381,0.063969053,0.031354085,21.6614990234375,19.75042724609375
6.145709917,0.015460618,0.085977204,0.078367122,0.035377868,0.044473499,0.024989076,21.808523178100586,20.355493545532227
0.095724278,0.013180287,0.058170579,0.064478546,0.031256076,0.038730796,0.021818127,19.235315322875977,20.0833683013916
2.795143263,0.012002355,0.056342863,0.050004847,0.027978268,0.032883357,0.020212742,17.13214683532715,19.23073959350586
64.4155092,0.010744016,0.073322609,0.033938922,0.025156032,0.020183736,0.034787174,17.108718872070312,19.240163803100586
16.78095784,0.01268047,0.108951949,0.014622318,0.016869608,0.0117433,0.019209795,16.777198791503906,19.3011474609375
10.65764122,0.012565014,0.107098438,0.014380839,0.013908812,0.011298074,0.016716437,19.106143951416016,19.325580596923828
-104.7025524,0.020336542,0.16232264,0.104541719,0.043614134,0.051155921,0.031374514,17.67310905456543,19.194774627685547
-47.21385197,0.022138998,0.176316187,0.106717356,0.044706717,0.053339284,0.038022541,16.77092170715332,19.945953369140625
-26.33136078,0.025601365,0.164450228,0.117114179,0.051409617,0.058878385,0.048957434,16.587913513183594,19.991134643554688
0.596148014,0.027229056,0.166915849,0.123048365,0.057530232,0.058330007,0.052079927,16.908016204833984,18.656484603881836
23.58810401,0.028394861,0.172144547,0.145823121,0.060863115,0.073834501,0.056925658,16.107383728027344,19.32855224609375
-9.431153779,0.026150102,0.140936032,0.1409785,0.048774481,0.059611745,0.055042733,16.809978485107422,19.122421264648438
-6.110037252,0.023905993,0.116698451,0.196738765,0.055481013,0.081575148,0.058621109,17.213802337646484,18.907495498657227
21.14071167,0.026058858,0.114831693,0.204609483,0.056313757,0.083904013,0.051681511,15.945483207702637,18.798547744750977
-1.489539285,0.020123336,0.10260009,0.202964261,0.05160594,0.082209401,0.040370453,14.679780960083008,18.741966247558594
-1.519429763,0.020403571,0.089464523,0.186422676,0.052974038,0.071853057,0.038911074,14.257099151611328,18.699323654174805
13.30471615,0.014868901,0.06455037,0.159138307,0.043768067,0.067340314,0.029442467,13.643566131591797,17.326297760009766
-110.6318874,0.020812524,0.150115669,0.071859181,0.036122449,0.042350892,0.035033859,14.342724800109863,16.803110122680664
11.00374595,0.018987592,0.142672107,0.049226332,0.033933781,0.034428079,0.03377394,14.71972942352295,16.78461456298828
10.33650684,0.025469223,0.170620173,0.077935055,0.039434377,0.049521003,0.048784204,15.117865562438965,16.498384475708008
4.771060446,0.027938142,0.169443071,0.111517809,0.042685509,0.051455867,0.049774498,20.895584106445312,15.888325691223145
-2.996649687,0.028771872,0.164236054,0.127649561,0.046523441,0.063943408,0.047483277,23.422988891601562,16.160661697387695
-3.939276924,0.024224609,0.082226962,0.136605874,0.044895466,0.07429447,0.041747961,30.022714614868164,16.310598373413086
-2.726394767,0.022299509,0.102312431,0.135465816,0.043503877,0.070948683,0.046035539,26.729490280151367,16.139381408691406
16.72945978,0.018269647,0.095131584,0.117221534,0.040292285,0.062158223,0.029010136,23.318096160888672,16.028696060180664
-4.517520008,0.015945639,0.089216255,0.092327133,0.035340298,0.056566723,0.028638138,23.365991592407227,15.875961303710938
-2.518597902,0.023101969,0.101884902,0.086154632,0.039126597,0.068580762,0.036095466,26.72064208984375,15.7501802444458
-14.9180606,0.02482524,0.131908551,0.063982688,0.034351591,0.050695591,0.032512698,26.639894485473633,14.892099380493164
8.799683089,0.025154969,0.111370981,0.080286831,0.046526417,0.061172094,0.035833273,26.67780113220215,13.529937744140625
0.497775204,0.024497114,0.124142759,0.081140853,0.045805249,0.061780561,0.035410728,26.99473762512207,13.778554916381836
5.956012079,0.023634804,0.125813991,0.080467902,0.044639207,0.060386375,0.036164921,25.695207595825195,13.116880416870117
3.211216628,0.020518579,0.112179346,0.056182317,0.040244326,0.037770353,0.030311842,19.53355598449707,12.650176048278809
0.432134319,0.012870374,0.074878879,0.051484782,0.032906216,0.035566114,0.026935806,17.81603240966797,12.792394638061523
-0.971716257,0.010545029,0.046960898,0.016499903,0.015485904,0.011142319,0.014380196,17.66605567932129,12.8629789352417
2.892644951,0.007821081,0.01895481,0.018624045,0.013875424,0.012364767,0.011159722,17.59627342224121,16.62992286682129
0.084043797,0.007525045,0.016389575,0.019902082,0.01506405,0.012677737,0.011349645,17.85184669494629,18.57298469543457
0.380024062,0.007026649,0.012658052,0.019618275,0.014916657,0.012569522,0.009354336,16.382461547851562,22.527851104736328
-0.41884541,0.006065826,0.013397748,0.02067809,0.015036516,0.014140922,0.009420378,15.861544609069824,26.070560455322266
8.639958317,0.00686056,0.020300705,0.022006286,0.015680144,0.013941413,0.011380298,15.274092674255371,27.146717071533203
-4.379088637,0.005715009,0.018796975,0.020547342,0.0160951,0.012642015,0.012075962,12.119712829589844,30.19283103942871
-1.350171408,0.006395619,0.018945634,0.019747522,0.016216969,0.012027176,0.012019714,12.245875358581543,32.16087341308594
17.37300259,0.007421168,0.025834855,0.01935038,0.017809143,0.011579284,0.012017219,10.52173137664795,32.198116302490234
1.203053916,0.006311422,0.026805686,0.018675987,0.017255997,0.009848318,0.012431654,11.212977409362793,32.922752380371094
-1.657034515,0.006329029,0.022893868,0.017159129,0.016191565,0.009872344,0.010008061,12.156481742858887,36.21514129638672
-0.085584734,0.006544298,0.021051139,0.018467406,0.016676767,0.010533925,0.010780026,12.237826347351074,40.10221862792969
0.456490866,0.005602881,0.021664308,0.021503083,0.015371521,0.012017514,0.009338623,10.685770034790039,43.21050262451172
-0.260784558,0.005493639,0.010380646,0.022212189,0.013461242,0.013086561,0.009860422,10.733114242553711,43.318153381347656
-1.629716032,0.005964735,0.011942572,0.023807688,0.013037712,0.014436994,0.009266496,10.890087127685547,43.354042053222656
-3.431489787,0.006446169,0.014460507,0.025980955,0.013160094,0.015333611,0.009068999,10.924032211303711,43.33193588256836
-6.152274321,0.006061135,0.015229188,0.024906026,0.012348668,0.014865983,0.010904837,10.257401466369629,44.09613037109375
3.810266408,0.00811665,0.01714381,0.022973768,0.012780803,0.015607122,0.011146626,12.400043487548828,47.415428161621094
3.257302431,0.010066905,0.016688699,0.0222742,0.013426771,0.015188146,0.011508356,13.806017875671387,51.16830825805664
7.571978757,0.01083198,0.016460979,0.023539245,0.014737429,0.016969647,0.01264252,14.263333320617676,53.93675994873047
-2.518073778,0.011423225,0.021586416,0.022065919,0.013610613,0.018051108,0.012977566,14.324056625366211,57.36027145385742
-3.008455215,0.012528897,0.021884311,0.021802811,0.015280643,0.017926784,0.012788551,16.135671615600586,56.43894577026367
-1.502129521,0.010327808,0.024320761,0.02338529,0.015989017,0.017211432,0.011971747,23.720657348632812,56.689308166503906
1.115019432,0.010600474,0.025336457,0.028289771,0.018992605,0.023883995,0.011418856,32.90994644165039,53.582374572753906
-1.072558693,0.009723146,0.024640858,0.031509168,0.019686315,0.025189076,0.012981892,36.467735290527344,50.522151947021484
3.547717143,0.009867714,0.023753354,0.033639986,0.019653501,0.02605601,0.013929726,37.584571838378906,50.47085189819336
2.743364791,0.009490429,0.023027947,0.035679828,0.021558212,0.02757987,0.013307472,37.8742790222168,50.57447052001953
-3.333315502,0.009471437,0.02197331,0.036505032,0.023416433,0.027830951,0.014267052,36.1329460144043,50.78617858886719
-0.892142408,0.010725764,0.020653095,0.036432125,0.022077985,0.023548361,0.014663968,35.59077453613281,51.32459259033203
-2.587000405,0.011540592,0.026045412,0.039865755,0.025954438,0.025334476,0.020240063,35.91632080078125,50.763343811035156
-4.89747057,0.011767996,0.037321158,0.047300816,0.029986281,0.029069807,0.021657275,39.845027923583984,47.92483901977539
-9.471980485,0.010869246,0.038802788,0.047126725,0.029619776,0.028105617,0.024218606,42.07622528076172,44.34664535522461
-8.00763218,0.010686327,0.041439936,0.047264908,0.031044684,0.027672645,0.024445064,44.101806640625,41.368717193603516
18.29252115,0.012059681,0.048843227,0.04583703,0.02948189,0.027130097,0.027977893,44.941368103027344,41.81001663208008
-3.865703071,0.010862675,0.046306856,0.038905315,0.024699941,0.023064461,0.024687715,47.189998626708984,41.61710739135742
2.282574067,0.009649019,0.041117311,0.027928362,0.02073423,0.016824165,0.021005444,47.723045349121094,41.567256927490234
-0.202965695,0.01044931,0.03754976,0.028823992,0.018593706,0.016751131,0.020332808,46.971370697021484,40.49317169189453
-0.512648704,0.009497562,0.034215502,0.027289594,0.01794534,0.015929857,0.017828926,47.13995361328125,37.00981140136719
-32.23730134,0.012240018,0.062026337,0.023928562,0.020247467,0.015658136,0.022887332,49.353912353515625,33.28525924682617
12.01486211,0.014459091,0.056371722,0.024290845,0.023360487,0.015901001,0.021364644,49.28802490234375,30.979137420654297
7.704565308,0.013207407,0.071207941,0.02103099,0.020679524,0.015031968,0.025756808,47.9649772644043,27.625070571899414
-14.18549495,0.013799876,0.071164489,0.020457771,0.021736681,0.014308188,0.025972782,44.51106643676758,24.811359405517578
4.609354559,0.013642645,0.073548771,0.019159786,0.023032587,0.013195624,0.027186818,39.16297149658203,22.723114013671875
5.983743666,0.010204345,0.047258768,0.019165825,0.020497756,0.014265805,0.021450134,36.03403091430664,22.322458267211914
14.56771417,0.013421275,0.047156285,0.021982178,0.02202196,0.014512324,0.027173467,33.13649368286133,22.150304794311523
-4.966323873,0.012911491,0.056614369,0.02006432,0.021426987,0.014203914,0.024594793,33.00337219238281,21.597652435302734
-21.96176979,0.013703408,0.074474111,0.020175559,0.021827061,0.015923843,0.026204824,34.047149658203125,18.839496612548828
6.318678557,0.014524894,0.072322756,0.020997198,0.023056688,0.014396827,0.023084959,34.8107795715332,16.916486740112305
-40.41273533,0.015567283,0.083452843,0.020645974,0.023543475,0.015568716,0.027315548,36.57419967651367,16.57048797607422
7.776284369,0.015605512,0.083369173,0.019970862,0.023923943,0.015826365,0.025808031,36.35167694091797,16.664186477661133
14.94885251,0.016002268,0.08500801,0.020089274,0.023432778,0.016479868,0.030261029,37.16812515258789,16.76873207092285
9.999854903,0.014786941,0.069371156,0.019980278,0.025349531,0.015929149,0.033822142,37.92902755737305,16.733999252319336
-5.516228004,0.013119246,0.072418556,0.020851217,0.024465278,0.017342804,0.035460088,39.489349365234375,16.84128761291504
-4.62449124,0.01381549,0.058333501,0.020990646,0.023315238,0.015749447,0.029963637,36.674598693847656,16.415111541748047
-12.4534336,0.012574866,0.064286396,0.020552892,0.024104299,0.016005721,0.029527949,39.9301872253418,16.506635665893555
67.49015994,0.021692226,0.088101745,0.051580358,0.031725682,0.024095329,0.040292069,42.36182403564453,16.51931381225586
-11.75613019,0.019671282,0.112994976,0.048468586,0.031844687,0.022554601,0.034889001,41.118690490722656,17.056406021118164
-7.52336825,0.021193754,0.113694593,0.050006669,0.031980101,0.023774695,0.035033043,37.367923736572266,17.442697525024414
4.328337908,0.019308724,0.108888611,0.048449475,0.032868255,0.023004852,0.03615246,37.81904983520508,17.92051124572754
3.575290518,0.016841467,0.104643546,0.048793416,0.029858928,0.022852262,0.033871017,38.14076232910156,17.842071533203125
